Dataset,Model,Period,AUC,Time,Hyper
Backblaze,lr,1,0.9526334924818451,91.67993011800002,"{'C': 17.401104894664048, 'penalty': 'l1', 'solver': 'liblinear'}"
Backblaze,lr,2,0.9328324160851785,183.48516322700004,"{'C': 0.0002101447507111302, 'penalty': 'none', 'solver': 'lbfgs'}"
Backblaze,lr,3,0.9285228886880165,385.87034249199996,"{'C': 1.366030332978985e-05, 'penalty': 'l2', 'solver': 'lbfgs'}"
Backblaze,lr,4,0.9115555598893659,225.25365351200003,"{'C': 1.4565451558624148e-05, 'penalty': 'l2', 'solver': 'sag'}"
Backblaze,lr,5,0.9232479621540461,80.21245645499994,"{'C': 0.3718564871425945, 'penalty': 'none', 'solver': 'newton-cg'}"
Backblaze,lr,6,0.9338662594679978,127.9918005909999,"{'C': 4.9940205544417795, 'penalty': 'l2', 'solver': 'newton-cg'}"
Backblaze,lr,7,0.9469998767644825,272.53195269899993,"{'C': 2.5735130809414207e-05, 'penalty': 'l2', 'solver': 'newton-cg'}"
Backblaze,lr,8,0.9259915865384615,131.66394842600016,"{'C': 3.918783613195467e-05, 'penalty': 'l2', 'solver': 'lbfgs'}"
Backblaze,lr,9,0.9408906663511928,144.2288262090001,"{'C': 1.3316348178609724e-05, 'penalty': 'l2', 'solver': 'lbfgs'}"
Backblaze,lr,10,0.8883940812588729,103.29298602800009,"{'C': 0.004634150421618032, 'penalty': 'l1', 'solver': 'liblinear'}"
Backblaze,lr,11,0.9148733265164024,144.36942830500038,"{'C': 10.41429789785187, 'penalty': 'none', 'solver': 'lbfgs'}"
Backblaze,lr,12,0.9235681661770486,92.64467964599999,"{'C': 6.146277658006622e-05, 'penalty': 'none', 'solver': 'lbfgs'}"
Backblaze,lr,13,0.9646828842111745,72.88250196099989,"{'C': 0.3831459088159273, 'penalty': 'l1', 'solver': 'liblinear'}"
Backblaze,lr,14,0.9327633484147249,219.59769770799994,"{'C': 0.07468162731444125, 'penalty': 'l1', 'solver': 'liblinear'}"
Backblaze,lr,15,0.9251294378698225,177.2267727620001,"{'C': 2.5408701177820204e-05, 'penalty': 'l2', 'solver': 'saga'}"
Backblaze,lr,16,0.9188163265306122,61.409328451999954,"{'C': 5.1782157670813675e-05, 'penalty': 'l2', 'solver': 'newton-cg'}"
Backblaze,lr,17,0.8964890459953252,225.88474042999997,"{'C': 4.161736516427255, 'penalty': 'l1', 'solver': 'liblinear'}"
