Scenario,Model,K,Retrain,Training Time,Testing Time,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B
Static Model,NN,15,False,5.72251495799992,0.016217394000022978,0.3230769230769231,0.32710280373831774,0.977466535738281,0.32507739938080493,0.8478309060201166,0.31362605948012046,0.021189539035225934
Sliding Window,NN,15,False,5.431942674000084,0.01789206099999774,0.2395543175487465,0.26791277258566976,0.9737454131996486,0.2529411764705882,0.8554286616149213,0.24001010973220335,0.021354989270280737
Z-test,NN,15,False,5.36347324999997,0.01617921500007924,0.2518891687657431,0.3115264797507788,0.9732285906248385,0.2785515320334262,0.8381108476310037,0.2666229632938965,0.022025055289497664
Gama,NN,15,False,5.431602085999998,0.016029729000024417,0.32575757575757575,0.26791277258566976,0.9786552276603442,0.294017094017094,0.8720247976911546,0.28468150452845514,0.02036360298534519
Harel,NN,15,False,5.285958968999921,0.0172043490000533,0.3139240506329114,0.3862928348909657,0.9758127034988888,0.3463687150837989,0.8944071271914746,0.33604867493130847,0.020469217973328912
Static Model,NN,16,False,1.1596000035751786e-05,0.021130340000013348,0.3129496402877698,0.41626794258373206,0.9744750254841998,0.3572895277207392,0.8745225879913773,0.3481891373316474,0.021720547804534144
Sliding Window,NN,16,True,22.938844475999986,0.030754344000001765,0.2680851063829787,0.45215311004784686,0.9696228338430173,0.3365983971504897,0.8878407034189477,0.33367072164638106,0.023845919060672068
Z-test,NN,16,True,22.437454049000053,0.030451140999957715,0.27258320126782887,0.41148325358851673,0.9712538226299694,0.32793136320305055,0.885950109192212,0.3208317633699587,0.022877548174969252
Gama,NN,16,False,0.018132621999939147,0.020293116000061673,0.35181236673773986,0.39473684210526316,0.9772884811416922,0.37204058624577224,0.8699269484949774,0.3611342138171999,0.0204847037717784
Harel,NN,16,True,24.92659821899997,0.03046150900001976,0.27403156384505023,0.4569377990430622,0.9701121304791029,0.3426008968609866,0.8902129024843983,0.3395738780935745,0.02437368588497372
Static Model,NN,17,False,1.185400003578252e-05,0.019070286999976815,0.43222003929273084,0.4592901878914405,0.9764958181428265,0.4453441295546559,0.8575189030542186,0.4335576111804683,0.022008505008909152
Sliding Window,NN,17,True,28.03551961000005,0.029521251999995002,0.4124087591240876,0.4718162839248434,0.9753377653870898,0.44011684518013633,0.9007588739312465,0.42857855772977743,0.022272547898742844
Z-test,NN,17,True,28.562345953999966,0.0292422819999274,0.3968804159445407,0.4780793319415449,0.9743512760025734,0.4337121212121212,0.9052603368449844,0.4226149365918328,0.02216961081761482
Gama,NN,17,False,0.039267901000016536,0.01859056099999634,0.5184275184275184,0.4405010438413361,0.9800986489384517,0.47629796839729116,0.8834955410477029,0.4678303477594218,0.020727940153336094
Harel,NN,17,False,21.826304498000013,0.030253963000063777,0.4249512670565302,0.4551148225469729,0.976152691400386,0.43951612903225806,0.8852428645244241,0.427610186568219,0.02097312565305943
Static Model,NN,18,False,9.949999935088272e-06,0.03597350799998367,0.28205128205128205,0.3903225806451613,0.9886316848895192,0.32746955345060896,0.9006377596518554,0.3262154615331262,0.01192685031510107
Sliding Window,NN,18,True,22.54519200499999,0.052032163000035325,0.3188405797101449,0.4258064516129032,0.9894780182076033,0.36464088397790057,0.9130107576424147,0.36327601846280894,0.010182664469938596
Z-test,NN,18,False,0.05886764400008815,0.05189353800005847,0.2565130260521042,0.4129032258064516,0.9873507479756622,0.3164400494437577,0.9261280067298431,0.31940553801539084,0.011128491181241134
Gama,NN,18,False,0.05895601600002465,0.033417304000067816,0.35774647887323946,0.4096774193548387,0.9905988380072281,0.38195488721804516,0.8932111518019571,0.3781201476058066,0.010879349328153065
Harel,NN,18,True,53.24085375300001,0.05529767299992727,0.32981530343007914,0.4032258064516129,0.9899583695502997,0.36284470246734396,0.9317615007788069,0.35967190743757255,0.010095767933444596
Static Model,NN,19,False,1.3359000035961799e-05,0.021087402000034672,0.6626180836707153,0.669849931787176,0.9806839150406345,0.666214382632293,0.9177819565416644,0.6562791113758214,0.02023218852576176
Sliding Window,NN,19,True,8.25509183400004,0.031053247000045303,0.5711009174311926,0.679399727148704,0.9760904558124927,0.6205607476635514,0.9435267414233777,0.61075823147993,0.02161784279944356
Z-test,NN,19,True,8.302386944999967,0.03152107400001114,0.5747836835599506,0.6343792633015006,0.9759726748066428,0.603112840466926,0.9423277641359483,0.5915195898095619,0.021406644663869615
Gama,NN,19,False,0.10909618000005139,0.020545724000044174,0.6989720998531571,0.6493860845839018,0.9818617250991324,0.6732673267326732,0.9133815703718213,0.6644276872365437,0.018745431355199484
Harel,NN,19,False,6.62019301700002,0.031185211999968487,0.6192,0.5279672578444747,0.9770719641945742,0.5699558173784978,0.9325186067311482,0.5601265308880605,0.020093609664384518
Static Model,NN,20,False,9.383000019624887e-06,0.017133086999933766,0.3821656050955414,0.594059405940594,0.987138863000932,0.4651162790697675,0.8915157392115165,0.4703968347688649,0.014249342942407902
Sliding Window,NN,20,True,26.880904955999995,0.026560961999962274,0.4161290322580645,0.6386138613861386,0.9881640260950606,0.50390625,0.9332118647935919,0.5099292603261386,0.011860569324005454
Z-test,NN,20,True,26.670781079999983,0.02661237600000277,0.41254125412541254,0.6188118811881188,0.9881174277726001,0.49504950495049516,0.9239857516657678,0.4996092725016693,0.012395067670250632
Gama,NN,20,False,0.1257983210000475,0.01737576700008958,0.36792452830188677,0.5792079207920792,0.986672879776328,0.45,0.899111016097376,0.4553408887891863,0.01394685211054011
Harel,NN,20,True,32.325801017,0.026298632999896654,0.40978593272171254,0.6633663366336634,0.9878378378378379,0.5066162570888468,0.9365392085355869,0.5157639594518558,0.012376561892551985
Static Model,NN,21,False,1.1379000056876976e-05,0.014942638000093211,0.16810344827586207,0.2765957446808511,0.9838621444201313,0.20911528150134048,0.7951752796274943,0.20785811049976674,0.017095007528507792
Sliding Window,NN,21,True,24.811092570000028,0.01126381599999604,0.18041237113402062,0.24822695035460993,0.9855032822757112,0.208955223880597,0.8684189742019761,0.20444639054289007,0.013192705624232639
Z-test,NN,21,True,35.08379685199998,0.02290541500008203,0.22110552763819097,0.3120567375886525,0.9862144420131291,0.2588235294117647,0.8891454446142653,0.2558902740226819,0.014282260559941569
Gama,NN,21,False,0.14789156999995612,0.01504126500003622,0.13596491228070176,0.2198581560283688,0.9832056892778993,0.1680216802168022,0.7600435017373717,0.16475074870353337,0.01708118701280515
Harel,NN,21,False,32.646445246999974,0.0231297820000691,0.16785714285714284,0.3333333333333333,0.9821115973741794,0.22327790973871733,0.8755346322859839,0.2283036440914876,0.015527493234672837
Static Model,NN,22,False,1.0392999911346124e-05,0.016873709000037707,0.23529411764705882,0.3271375464684015,0.9776480160819413,0.2737169517884914,0.8263508461647167,0.2663592527452969,0.02116818392383468
Sliding Window,NN,22,True,26.974989765999908,0.02656624499991267,0.3076923076923077,0.4163568773234201,0.9804240654764754,0.353870458135861,0.8666801193109555,0.3482232780460932,0.018287350012457078
Z-test,NN,22,False,0.04645183699994959,0.02370140299990453,0.29863013698630136,0.4052044609665427,0.9800890250323074,0.3438485804416404,0.868124100553439,0.3379910360725079,0.019514649280720196
Gama,NN,22,False,0.18209127499994793,0.017146741000033217,0.24633431085043989,0.31226765799256506,0.9788445890968267,0.2754098360655738,0.7909315778924326,0.26674686476001447,0.020616690945054316
Harel,NN,22,False,2.1498695450000014,0.027346176000037303,0.2706185567010309,0.3903345724907063,0.9786052744938496,0.319634703196347,0.8582307291321188,0.31449358831057195,0.019598076483710987
