Scenario,Model,K,Retrain,Training Time,Testing Time,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B
SEA,RF,19,True,1.4744118920000346,91.56413859899999,0.16137566137566137,0.6019736842105263,0.9991133615260107,0.25452016689847007,0.8411487700305269,0.31137873379548886,0.002319802553280862
AWE,RF,19,True,13.623259396999856,98.37047478099998,0.14386239249413604,0.6052631578947368,0.9989950879236035,0.2324699936828806,0.8402446047446827,0.29476132083213485,0.0023407529038672716
SEA,RF,20,True,1.3401978970000528,113.59039314799998,0.16402997502081598,0.696113074204947,0.999149147430113,0.2654986522911051,0.9117286217094859,0.33765086366667724,0.0022817870588560923
AWE,RF,20,True,13.08776134599998,308.0665523399998,0.1547433903576983,0.7031802120141343,0.9990859189363874,0.25366475462077753,0.9232522578805503,0.32959833318262616,0.0023184175751025126
SEA,RF,21,True,4.270544239999708,142.36278824300007,0.16524701873935263,0.5756676557863502,0.999108788158231,0.25678358702845794,0.8967634470039524,0.3081128209150482,0.0024610664755405306
AWE,RF,21,True,23.20058006699992,144.44488979900007,0.14859742228961334,0.5816023738872403,0.9989968906785431,0.23671497584541062,0.8641638074438149,0.2936445098565795,0.002472804790221715
SEA,RF,22,True,3.485011007999674,183.1909486229997,0.19865571321882,0.7112299465240641,0.9991133620320751,0.31056625802685345,0.9352601663005771,0.3755957386355753,0.0026729328686145404
AWE,RF,22,True,35.74640035399989,166.2448197829999,0.18862491000719941,0.7005347593582888,0.9990698184231508,0.29722064662507086,0.9210848100045006,0.36320761544086455,0.0026154086446298374
SEA,RF,23,True,3.897083099000156,174.921487136,0.2037037037037037,0.7180156657963447,0.9991032790575864,0.3173687247547605,0.868754633047879,0.3821487138313116,0.0025930034477807035
AWE,RF,23,True,36.178947121999954,176.8167420890004,0.18964310706787962,0.7075718015665796,0.9990373325470285,0.29911699779249445,0.8752353212772999,0.36600483931764355,0.0026734056326812696
SEA,RF,24,True,2.683493885000189,170.87038541599986,0.16081460674157302,0.6058201058201058,0.9990453094433387,0.2541620421753607,0.9132708682844464,0.31180776593535575,0.002620052811661352
AWE,RF,24,True,21.370378905000052,157.60055718000012,0.158040027605245,0.6058201058201058,0.9990275510624484,0.2506841817186645,0.9150223619078777,0.309099880881848,0.0026179714615186763
SEA,RF,25,True,3.2131505099996502,104.21917750899956,0.14685314685314685,0.6387832699619772,0.9989789040236521,0.23880597014925373,0.9312826035900574,0.30596211097911136,0.002814126555370315
