Scenario,Model,K,Retrain,Training Time,Testing Time,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B
SEA,LR,15,True,0.10067938399151899,0.21251816100266296,0.0,0.0,0.9834099953485969,0.0,0.6665198097966138,0.0,0.022950246408732732
AWE,LR,15,True,0.630861316996743,0.2300504529994214,0.0,0.0,0.9834099953485969,0.0,0.6637650565128812,0.0,0.02286026883344312
SEA,LR,16,True,0.12571313200169243,0.29814468100084923,0.0,0.0,0.982874617737003,0.0,0.6653759862082188,-0.0011891722214214023,0.023226108327881245
AWE,LR,16,True,1.2018488659959985,0.3030295990029117,0.0,0.0,0.9828338430173292,0.0,0.6500377702043303,-0.001456462275532126,0.023257829494983315
SEA,LR,17,True,0.13182600299478509,0.2761991029983619,0.0,0.0,0.9793266137679605,0.0,0.663672776493622,-0.0016429660891699772,0.025808048778380346
AWE,LR,17,True,0.9899528189998819,0.2800397149985656,0.0,0.0,0.9791979412395454,0.0,0.6567061549156351,-0.002323654445118511,0.02582039494067308
SEA,LR,18,True,0.14467966700613033,0.5152643530018395,0.0625,0.0032258064516129032,0.9925888649983988,0.006134969325153374,0.7457026651843572,0.012635283060096493,0.014838211294691981
AWE,LR,18,True,1.8572486909979489,0.5102110999869183,0.29508196721311475,0.05806451612903226,0.9923372523903198,0.09703504043126686,0.7675216698571989,0.12829553430549218,0.014620879489999478
SEA,LR,19,True,0.21896641099010594,0.2951712610083632,0.23076923076923078,0.004092769440654843,0.9709473518903852,0.00804289544235925,0.7343753808673424,0.02730260846262354,0.032423011996884236
AWE,LR,19,True,2.0259873229952063,0.3404172959999414,0.2,0.0068212824010914054,0.970633269208119,0.013192612137203168,0.7302959572941066,0.03210199083472982,0.03229804380506688
SEA,LR,20,True,0.4955943520035362,0.25348644600308035,0.13333333333333333,0.019801980198019802,0.9895619757688723,0.03448275862068966,0.5174259381907709,0.048015939736657604,0.01784582226520186
AWE,LR,20,True,4.651835718002985,0.2838564230041811,0.06896551724137931,0.019801980198019802,0.9882572227399814,0.030769230769230767,0.42712632821283825,0.03210559956345473,0.018067416625399013
SEA,LR,21,True,0.08449217698944267,0.21736935200169683,0.36363636363636365,0.028368794326241134,0.9921225382932166,0.052631578947368425,0.6337367585770873,0.09982860258929238,0.016513227831838284
AWE,LR,21,True,0.5990504039946245,0.2322811039921362,1.0,0.028368794326241134,0.9925054704595186,0.05517241379310345,0.6304234948480978,0.1677979053081687,0.019681987194204116
SEA,LR,22,False,0.07299962999240961,0.2562711920036236,0.25,0.026022304832713755,0.9864547934714977,0.047138047138047146,0.6168692013635537,0.07705221879824235,0.020869184433482044
AWE,LR,22,True,0.5417368639900815,0.24436345499998424,0.23076923076923078,0.011152416356877323,0.9867898339156655,0.021276595744680847,0.6133631622738586,0.048226986363800795,0.024291608309829814
SEA,LR,23,False,0.2413816469925223,0.28313934401376173,0.10344827586206896,0.011764705882352941,0.9885251991579642,0.02112676056338028,0.6820275615669261,0.031521661486922696,0.01908644060479669
AWE,LR,23,True,2.0892499039910035,0.2903352540015476,0.3333333333333333,0.00392156862745098,0.9894332769224419,0.007751937984496124,0.6814283330552311,0.035201344335594936,0.01948286025304577
SEA,LR,24,False,0.09677304700016975,0.3057830850011669,0.15789473684210525,0.010638297872340425,0.9879547588910212,0.01993355481727575,0.6675114817213808,0.03823122810455983,0.019557387392708243
AWE,LR,24,True,0.7019151329877786,0.28549656199174933,0.21212121212121213,0.024822695035460994,0.9877097709362623,0.044444444444444446,0.6715917882951332,0.06906939338176364,0.020464531885136895
SEA,LR,25,False,0.21623825799906626,0.23680190899176523,0.21212121212121213,0.02631578947368421,0.9857628134678789,0.046822742474916385,0.6254387106892383,0.07056154172306336,0.02099271570166603
AWE,LR,25,True,1.8695440930023324,0.24358801300695632,0.17073170731707318,0.02631578947368421,0.9853631731441702,0.04560260586319218,0.6925191928789167,0.062291145410472606,0.0215280217636651
SEA,LR,26,False,0.09219974098959938,0.34525311400648206,0.20833333333333334,0.014005602240896359,0.9857701749002762,0.026246719160104987,0.600432014143398,0.05083918472344827,0.021011368820221494
