Scenario,Model,K,Retrain,Training Time,Testing Time,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B
SEA,NN,15,True,0.18003326200005176,0.2715946810001242,0.391304347826087,0.08411214953271028,0.9826347614863817,0.13846153846153844,0.8854814384049217,0.17550148064031915,0.018003365672490643
AWE,NN,15,True,1.2431552420000571,0.272345697999981,0.32608695652173914,0.14018691588785046,0.9809292469895085,0.196078431372549,0.870832588407181,0.20536686353573336,0.019828650292932213
SEA,NN,16,True,2.8049781800000346,0.5582201130000612,0.4326923076923077,0.1076555023923445,0.9823853211009175,0.1724137931034483,0.9052454636555565,0.2095609846414294,0.01696449168721651
AWE,NN,16,True,30.16392261100009,5.797712457999978,0.3333333333333333,0.12440191387559808,0.9808358817533129,0.18118466898954705,0.892501542663758,0.19551384280548237,0.0185084882016725
SEA,NN,17,True,4.193174997999904,1.592067464000138,0.6140350877192983,0.21920668058455114,0.9811280291657731,0.32307692307692304,0.9229466732197011,0.3596252445276514,0.019004107993382615
AWE,NN,17,True,47.812938855000084,0.5315396169999076,0.558252427184466,0.24008350730688935,0.9804846665236971,0.33576642335766427,0.907285853454111,0.3578878431108594,0.02023429413629724
SEA,NN,18,True,1.7154422909998175,4.559052472000076,0.375,0.15483870967741936,0.9921771352760876,0.21917808219178087,0.931355228113147,0.2376001059557992,0.009211014867686135
AWE,NN,18,True,8.97307164499989,0.9906829649999054,0.30952380952380953,0.12580645161290321,0.9918111533006999,0.17889908256880735,0.9240813347918623,0.1937784475196221,0.009952196951637965
SEA,NN,19,True,0.7970755559999816,1.8693371680001292,0.8426150121065376,0.4747612551159618,0.9823328491225315,0.6073298429319371,0.930251298271644,0.6249583418446607,0.01986403691738583
AWE,NN,19,True,4.863455961999989,0.5604000489997816,0.676923076923077,0.24010914051841747,0.9748341250834283,0.3544813695871098,0.932482980985889,0.3937093213077671,0.022556057918757
SEA,NN,20,True,7.72765659300012,4.678300446000321,0.64,0.4752475247524752,0.9925442684063374,0.5454545454545454,0.9284609451631023,0.5478880713707375,0.012043776855601271
AWE,NN,20,True,77.02864901200019,0.5417865890003668,0.14492753623188406,0.04950495049504951,0.9883038210624417,0.07380073800738007,0.9234790117453744,0.07970547627770226,0.013740201131946288
SEA,NN,21,True,0.38097377500025686,1.424461828999938,0.23255813953488372,0.07092198581560284,0.9910284463894967,0.10869565217391305,0.8555561290100597,0.12479590225493827,0.01265278553940316
AWE,NN,21,True,2.847847702999843,0.49672127500025454,0.3118279569892473,0.20567375886524822,0.9903719912472647,0.24786324786324787,0.8371087492605369,0.24857542398443253,0.014458646521835476
SEA,NN,22,True,0.32206879000023036,1.6731196020000425,0.3769230769230769,0.1821561338289963,0.9855932609007801,0.2456140350877193,0.8579818041419965,0.2555191357030686,0.016002491383297696
AWE,NN,22,True,2.7317981260002853,0.6383321230000547,0.23626373626373626,0.15985130111524162,0.9825300339826736,0.19068736141906872,0.8485004837904949,0.18575238597042992,0.018842876088599837
SEA,NN,23,True,1.3610451720001038,1.4570694929998353,0.2782608695652174,0.12549019607843137,0.9873694638213564,0.17297297297297298,0.845549382776638,0.18118220953321001,0.015481022800964125
AWE,NN,23,True,13.16705120000006,0.7382954469999277,0.26256983240223464,0.1843137254901961,0.9859660709126181,0.21658986175115208,0.8596597991774717,0.2130794053968141,0.01752735969639789
SEA,NN,24,True,0.5487363470001583,1.5890112360002604,0.19480519480519481,0.05319148936170213,0.9865664938140541,0.08356545961002786,0.8359334008892421,0.09648504541314623,0.016389219774925756
AWE,NN,24,True,4.667096756999854,0.782351811999888,0.21818181818181817,0.0851063829787234,0.9859540239271569,0.12244897959183673,0.8352538868816445,0.13011760687111962,0.01726749781218968
SEA,NN,25,True,1.5237009089996718,1.269179412000085,0.2605042016806723,0.11654135338345864,0.9838645219302627,0.16103896103896104,0.8751368472822396,0.1669586946937081,0.01719591610261307
AWE,NN,25,True,14.65122426500011,0.5059498199998416,0.2777777777777778,0.15037593984962405,0.9835148366470177,0.19512195121951217,0.9075506201713275,0.19661731279652975,0.01771401202572457
SEA,NN,26,True,0.5589140030001545,2.0409398809997583,0.2072072072072072,0.06442577030812324,0.9838140533906106,0.09829059829059827,0.8642536617991549,0.10888321762951153,0.018936418513416566
AWE,NN,26,True,4.63643457399985,0.859907332000148,0.2015810276679842,0.14285714285714285,0.9805154955507824,0.16721311475409836,0.8864940026175744,0.1600431091453294,0.022013928625071646
SEA,NN,27,False,0.839812045999679,1.5131384599999365,0.19444444444444445,0.06481481481481481,0.9878242952140114,0.09722222222222222,0.9218322364847581,0.10714568498410128,0.014374918081652548
AWE,NN,27,True,7.565220903999943,0.6976839839999229,0.6143790849673203,0.4351851851851852,0.9915238362836003,0.5094850948509486,0.9171723821939074,0.51299672944791,0.015615356582131255
SEA,NN,28,False,0.48180676999982097,1.1796489770003973,0.41333333333333333,0.22302158273381295,0.9926954683069825,0.28971962616822433,0.817828465819507,0.3002528955925621,0.015707953709351834
AWE,NN,28,True,3.6843902259997776,0.5289795880003112,0.28846153846153844,0.2158273381294964,0.9912057282906435,0.24691358024691357,0.837216728794033,0.24516894887610938,0.01878098667737792
SEA,NN,-1,False,0,0,0.4918401800787845,0.199179580674567,0.9867747363630375,0.2835360908353609,0.8939611138194942,0.3074721236725395,0.0155350665516009
AWE,NN,-1,False,0,0,0.36585365853658536,0.18117593436645396,0.9851159643334072,0.24234110653863739,0.8928995030979497,0.25067446285159667,0.01728284765709864
SEA,NN,15,True,0.48023579400023664,0.42660547200011933,0.3373493975903614,0.08722741433021806,0.9820145743966097,0.1386138613861386,0.8673758036197845,0.16482841715454194,0.018361860117412688
AWE,NN,15,True,1.8932742409997445,0.45150438300015594,0.36904761904761907,0.09657320872274143,0.9822729856840147,0.1530864197530864,0.8756304039890057,0.18220969064403958,0.018755981446287484
SEA,NN,16,True,3.415447101999689,0.5695481199995811,0.391304347826087,0.1076555023923445,0.9819367991845056,0.16885553470919326,0.8881253196722825,0.19846701259073563,0.017767719782707317
